Table S7. Corals Coefficients,,,,
,countrycode,CoralArea_2020_km2,DamCoef_changeperC,DamCoef_changeperC_se
1,ARG,NA,NA,NA
2,ARM,NA,NA,NA
3,AUS,13824.6812,-0.081956845,0.004086789
4,AUT,NA,NA,NA
5,AZE,NA,NA,NA
6,BDI,NA,NA,NA
7,BEL,NA,NA,NA
8,BEN,NA,NA,NA
9,BFA,NA,NA,NA
10,BGD,2.074989271,-0.094654146,0.008863946
11,BGR,NA,NA,NA
12,BHR,39.27372469,-0.08625299,0.005448581
13,BHS,315.0599129,-0.107073049,0.008332
14,BIH,NA,NA,NA
15,BLR,NA,NA,NA
16,BLZ,116.2585402,-0.105127679,0.007998553
17,BOL,NA,NA,NA
18,BRA,150.230333,-0.097948042,0.006065624
19,BRB,11.75579757,-0.092138494,0.006203873
20,BRN,20.98063956,-0.081731686,0.004314407
21,BTN,NA,NA,NA
22,BWA,NA,NA,NA
23,CAF,NA,NA,NA
24,CAN,NA,NA,NA
25,CHE,NA,NA,NA
26,CHL,NA,NA,NA
27,CHN,144.5500973,-0.104209819,0.009580073
28,CIV,NA,NA,NA
29,CMR,NA,NA,NA
30,COD,NA,NA,NA
31,COG,NA,NA,NA
32,COL,257.9183721,-0.097293541,0.006526714
33,COM,113.4964931,-0.072200408,0.001673059
34,CPV,NA,NA,NA
35,CRI,17.01922372,-0.10781206,0.008799668
36,CUB,622.4680809,-0.096328859,0.005751271
37,CYP,NA,NA,NA
38,CZE,NA,NA,NA
39,DEU,NA,NA,NA
40,DJI,84.30474212,-0.111496672,0.00707
41,DNK,NA,NA,NA
42,DOM,49.54664781,-0.096488674,0.005728212
43,DZA,NA,NA,NA
44,ECU,55.12661084,-0.066353959,0.002439008
45,EGY,835.8773143,-0.085332143,0.00318536
46,ERI,591.261138,-0.100340308,0.005498725
47,ESP,NA,NA,NA
48,EST,NA,NA,NA
49,ETH,NA,NA,NA
50,FIN,NA,NA,NA
51,FJI,1197.937224,-0.08432227,0.00458989
52,FRA,2949.232377,-0.079468059,0.003639131
53,GAB,NA,NA,NA
54,GBR,188.2534832,-0.108117648,0.007470491
55,GEO,NA,NA,NA
56,GHA,NA,NA,NA
57,GIN,NA,NA,NA
58,GMB,NA,NA,NA
59,GNB,NA,NA,NA
60,GNQ,NA,NA,NA
61,GRC,NA,NA,NA
62,GRD,13.36397765,-0.078378013,0.003532114
63,GTM,NA,NA,NA
64,GUY,NA,NA,NA
65,HKG,NA,NA,NA
66,HND,190.8536573,-0.111289978,0.00856816
67,HRV,NA,NA,NA
68,HTI,63.28199859,-0.076585588,0.007450757
69,HUN,NA,NA,NA
70,IDN,7094.146799,-0.08835729,0.005722116
71,IND,517.5000046,-0.09984892,0.00483803
72,IRL,NA,NA,NA
73,IRN,44.34018929,-0.088058137,0.004090024
74,IRQ,NA,NA,NA
75,ISL,NA,NA,NA
76,ISR,0.451632864,-0.089308843,0.002773621
77,ITA,NA,NA,NA
78,JAM,89.87164651,-0.091641132,0.004610919
79,JOR,1.13798645,-0.089308843,0.002773621
80,JPN,434.5661657,-0.081389111,0.003584801
81,KAZ,NA,NA,NA
82,KEN,127.6212645,-0.129894559,0.012870305
83,KGZ,NA,NA,NA
84,KHM,13.07305749,-0.100435408,0.007622995
85,KOR,NA,NA,NA
86,KWT,21.60827179,-0.083941714,0.004887504
87,LAO,NA,NA,NA
88,LBN,NA,NA,NA
89,LBR,NA,NA,NA
90,LBY,NA,NA,NA
91,LCA,4.265961447,-0.103686692,0.004406996
92,LKA,52.84746995,-0.089935249,0.004329851
93,LSO,NA,NA,NA
94,LTU,NA,NA,NA
95,LUX,NA,NA,NA
96,LVA,NA,NA,NA
97,MAR,NA,NA,NA
98,MDA,NA,NA,NA
99,MDG,1055.615245,-0.085003903,0.007190528
100,MDV,818.0107663,-0.101415402,0.005237489
101,MEX,218.4687597,-0.095163092,0.0062989
102,MKD,NA,NA,NA
103,MLI,NA,NA,NA
104,MLT,NA,NA,NA
105,MNG,NA,NA,NA
106,MOZ,540.9343572,-0.105450766,0.00461576
107,MRT,NA,NA,NA
108,MUS,877.8084872,-0.105197628,0.007810221
109,MWI,NA,NA,NA
110,MYS,631.007355,-0.082566973,0.003559577
111,NAM,NA,NA,NA
112,NER,NA,NA,NA
113,NGA,NA,NA,NA
114,NIC,111.966698,-0.112320761,0.009604664
115,NLD,70.90587728,-0.089804493,0.00465361
116,NOR,NA,NA,NA
117,NPL,NA,NA,NA
118,NZL,101.2839977,-0.084917883,0.004863333
119,OMN,112.8326553,-0.096187642,0.004994898
120,PAK,NA,NA,NA
121,PAN,220.9984887,-0.095117938,0.005839476
122,PER,NA,NA,NA
123,PHL,5397.660004,-0.086613048,0.004288662
124,PNG,2496.761118,-0.08668243,0.004748496
125,POL,NA,NA,NA
126,PRI,NA,NA,NA
127,PRT,NA,NA,NA
128,PRY,NA,NA,NA
129,ROU,NA,NA,NA
130,RUS,NA,NA,NA
131,RWA,NA,NA,NA
132,SAU,1376.635019,-0.09829596,0.005108181
133,SDN,640.5709444,-0.081838156,0.003603751
134,SEN,NA,NA,NA
135,SGP,1.704581382,-0.093453669,0.006952944
136,SLB,1043.514408,-0.076691338,0.004439977
137,SLE,NA,NA,NA
138,SLV,NA,NA,NA
139,SOM,78.48150115,-0.127700568,0.012085358
140,SRB,NA,NA,NA
141,STP,NA,NA,NA
142,SUR,NA,NA,NA
143,SVK,NA,NA,NA
144,SVN,NA,NA,NA
145,SWE,NA,NA,NA
146,SWZ,NA,NA,NA
147,SYR,NA,NA,NA
148,TCD,NA,NA,NA
149,TGO,NA,NA,NA
150,THA,71.47228637,-0.095689554,0.006510557
151,TJK,NA,NA,NA
152,TKM,NA,NA,NA
153,TLS,12.41488837,-0.089359356,0.004641335
154,TON,351.7968728,-0.071527977,0.004082914
155,TTO,8.889246523,-0.076365572,0.004337987
156,TUN,NA,NA,NA
157,TUR,NA,NA,NA
158,TZA,681.7752901,-0.110015983,0.006899151
159,UGA,NA,NA,NA
160,UKR,NA,NA,NA
161,URY,NA,NA,NA
162,USA,797.0849371,-0.108093224,0.006890177
163,UZB,NA,NA,NA
164,VCT,5.573136297,-0.084564283,0.004235356
165,VEN,85.51362356,-0.090512081,0.005016761
166,VNM,233.4772811,-0.097979461,0.009400597
167,VUT,220.1813551,-0.088985421,0.004732194
168,WSM,73.93953361,-0.070960307,0.004389582
169,YEM,120.5996239,-0.112793997,0.007133167
170,ZAF,0.373660255,-0.103904296,0.009748407
171,ZMB,NA,NA,NA
172,ZWE,NA,NA,NA
