year,value
1980,42.246
1981,46.243
1982,49.1
1983,51.023
1984,52.865
1985,54.536
1986,55.634
1987,57.01
1988,59.021
1989,61.335
1990,63.631
1991,65.783
1992,67.282
1993,68.876
1994,70.348
1995,71.823
1996,73.138
1997,74.399
1998,75.236
1999,76.296
2000,78.025
2001,79.783
2002,81.026
2003,82.625
2004,84.843
2005,87.504
2006,90.204
2007,92.642
2008,94.418
2009,95.024
2010,96.166
2011,98.164
2012,100
2013,101.751
2014,103.654
2015,104.691
2016,105.74
2017,107.747
2018,110.321
2019,112.294
2020,113.647
2021,118.371
2022,125.798
2023,129.575
2024,132.764
2025,135.486
2026,138.151
